stateName,stateCode,stateID,pop1970,pop1980,pop1990,pop2000,pop2010,income1995,income1996,income1997,income1998,income1999,income2000,income2001,income2002,income2003,income2004,income2005,income2006,income2007,income2008,income2009,income2010,income2011,income2012,income2013,income2014,income2015
Georgia,GA,13,4589575,5463105,6478216,8186453,9687653,51754,48042,53056,55183,55118,56680,56020,55600,53751,50543,54800,57010,54647,50013,47069,47134,47615,48820,47439,46007,46007
Hawaii,HI,15,768561,964691,1108229,1211537,1360301,65037,61755,59237,58268,62218,69727,62419,61250,65651,69360,71100,69864,71928,66560,60437,63611,61156,57081,61408,62814,62814
Idaho,ID,16,712567,943935,1006749,1293953,1567582,49594,51314,48340,52350,50050,50877,50316,48835,53667,54704,52712,53392,55257,51304,50802,50268,49154,48618,51767,43341,43341
Illinois,IL,17,11113976,11426518,11430602,12419293,12830632,57782,58476,59742,61624,64771,62311,60750,55303,57189,56824,57750,56232,58989,57616,57418,54198,52446,52490,57196,53234,53234
Indiana,IN,18,5193669,5490224,5544159,6080485,6483802,50670,51961,56277,56704,57093,55278,53129,53150,53734,52202,50637,52461,53313,50330,48117,49295,46033,46829,50553,46438,46438
Iowa,IA,19,2824376,2913808,2776755,2926324,3046355,53909,49096,48888,52834,57457,55449,53915,53152,52416,53511,55485,55603,54947,54249,55085,52368,52013,54219,54855,49427,49427
Kansas,KS,20,2246578,2363679,2477574,2688418,2853118,46050,48173,52778,52394,52214,55541,54493,55185,56023,50644,50148,52629,54485,51799,48564,49204,47796,50730,51485,48964,48964
Kentucky,KY,21,3218706,3660777,3685296,4041769,4339367,45244,47919,48409,51739,47167,49056,50574,47601,46782,43916,43790,45619,44324,44518,46334,43915,41280,41683,42158,41141,41141
Louisiana,LA,22,3641306,4205900,4219973,4468976,4533372,42419,44739,48131,45292,45652,41553,43844,44035,42439,44926,44431,42157,46414,42804,49342,41988,42111,39653,39622,41734,41734
Maine,ME,23,992048,1124660,1227928,1274923,1328361,51388,51294,47425,50865,54331,50410,48173,47719,47006,50968,52410,52733,53808,51096,51589,51209,51468,49872,50121,46033,46033
Maryland,MD,24,3922399,4216975,4781468,5296486,5773552,62290,65039,67559,71383,72985,73770,70433,73039,66259,70422,72205,73559,73734,68930,69708,68592,71337,72880,65262,70004,70004
Massachusetts,MA,25,5689170,5737037,6016425,6349097,6547629,58546,58388,60812,60435,61521,63243,68753,64555,64538,64152,66841,63926,65682,65261,64481,65102,65575,64581,62963,64859,64859
Michigan,MI,26,8875083,9262078,9295297,9938444,9883640,55285,57990,56064,59687,64434,61564,59271,55310,57023,52112,54809,56204,55466,53866,49951,49441,50625,50742,48801,45981,45981
Minnesota,MN,27,3804971,4075970,4375099,4919479,5303925,57573,60601,61595,68400,65761,73386,69316,70727,66904,69190,64691,64944,65227,59424,60916,55899,59886,62693,60907,61814,61814
Mississippi,MS,28,2216912,2520638,2573216,2844658,2967297,40278,39439,41242,41560,45405,46397,39685,39988,41452,42861,39228,40129,41882,39431,38096,40770,42558,37173,40850,36919,36919
Missouri,MO,29,4676501,4916686,5117073,5595211,5988927,52856,50657,52897,57375,57855,61003,54393,55389,55428,51965,51292,51504,51686,49809,52965,48951,47409,50487,50311,45247,45247
Montana,MT,30,694409,786690,799065,902195,989415,42128,42406,42273,45067,43392,44338,42270,45106,43200,41876,44523,47491,49046,46414,43916,44103,41716,45743,44132,44222,44222
Nebraska,NE,31,1483493,1569825,1578385,1711263,1826341,49978,50286,50204,51969,54001,56476,57382,55415,55696,53999,57183,55624,55246,54883,53862,56095,57603,52954,53774,50296,50296
Nevada,NV,32,488738,800493,1201833,1998257,2700551,54766,56977,56227,56740,57964,61897,59740,58214,57229,58214,57525,60404,60733,59228,55859,54702,48724,48021,45369,48927,48927
New Hampshire,NH,33,737681,920610,1109252,1235786,1316470,59452,58259,59329,64164,64387,68888,67540,71633,70379,70066,67995,71597,75920,71596,69648,71190,68234,68805,71322,64712,64712
New Jersey,NJ,34,7168164,7364823,7730188,8414350,8791894,66665,70176,69492,71112,69530,68183,68119,70658,70985,68167,75613,78632,67980,70655,70350,67275,64565,67661,61782,67458,67458
New Mexico,NM,35,1016000,1302894,1515069,1819046,2059179,39448,37087,43538,45018,45540,47471,43584,45912,44463,48789,46473,46246,49833,45551,47288,48221,43482,44055,42127,41963,41963
New York,NY,36,18236967,17558072,17990455,18976457,19378102,50128,52350,51804,53369,55906,55115,55412,54340,54194,55063,56292,55713,54988,54594,54536,53186,52445,48373,53843,55246,55246
North Carolina,NC,37,5082059,5881766,6628637,8049313,9535483,48536,52632,51865,51148,52083,51832,50212,47282,47216,49623,50183,45980,48886,46446,45511,46828,46821,42157,41208,43916,43916
North Dakota,ND,38,617761,652717,638800,642200,672591,44150,46525,45817,43250,45664,48692,47095,46874,51182,48368,50345,47424,53034,53696,54383,54495,58375,56576,52888,51704,51704
Ohio,OH,39,10652017,10797630,10847115,11353140,11536504,53032,50369,52290,55554,55207,58115,54979,55269,55121,53097,52744,53031,55162,50778,49826,49024,46243,45020,46398,45749,45749
Oklahoma,OK,40,2559229,3025290,3145585,3450654,3751351,39933,40563,45369,48135,45692,43871,46853,47208,45472,48853,44919,44872,48552,49888,49825,46051,50186,49110,43777,43225,43225
Oregon,OR,41,2091385,2633105,2842321,3421399,3831074,55207,52471,53901,55756,56787,57489,54306,54127,52737,50555,52692,54407,56439,55964,53322,54063,53367,52527,56307,46816,46816
Pennsylvania,PA,42,11793909,11863895,11881643,12281054,12702379,52399,51594,54292,55682,52787,57052,57235,55029,54378,54393,55247,56008,54418,55612,52316,51618,51693,52658,53952,50228,50228
Rhode Island,RI,44,946725,947154,1003464,1048319,1052567,53666,54680,50356,58067,59723,57080,60161,54924,56630,59115,59046,62084,60904,57602,56076,55154,50785,56880,57812,53636,53636
South Carolina,SC,45,2590516,3121820,3486703,4012012,4625364,44122,51248,49581,47479,50975,50821,49652,48961,48736,47715,48004,45772,49672,45608,44637,44550,41516,45046,43749,42367,42367
South Dakota,SD,46,665507,690768,696004,754844,814180,44892,43651,42971,46792,50089,49340,52198,49040,50057,50695,51489,52484,52150,55827,49768,48454,48910,50133,54453,48321,48321
Tennessee,TN,47,3923687,4591120,4877185,5689283,6346105,44037,45520,44334,48655,51059,46122,47082,47948,47525,46952,47021,47015,46282,42954,44003,41230,43789,43620,42499,41693,41693
Texas,TX,48,11196730,14229191,16986510,20851820,25145561,48627,48893,50758,51070,54087,52227,53762,51987,49739,51052,49426,50035,51740,50298,51559,50499,50799,52681,53027,49392,49392
Utah,UT,49,1059273,1461037,1722850,2233169,2763885,55367,54757,61901,63224,64380,64321,62291,61973,62410,62736,65405,63115,60139,67659,63523,60579,57475,59189,62967,55869,55869
Vermont,VT,50,444330,511456,562758,608827,625741,51336,47838,50726,56192,58136,53559,53675,55677,54793,58368,60502,60056,53242,54859,56819,59753,53715,56390,54842,52776,52776
Virginia,VA,51,4648494,5346818,6187358,7078515,8001024,54976,57969,62164,61875,63881,63798,66106,64265,69386,63069,61946,65993,66466,67062,65706,64496,64853,65571,67620,62881,62881
Washington,WA,53,3409169,4132156,4866692,5894121,6724540,53983,54222,64487,67679,63573,57524,55907,58505,60172,61566,60432,63224,65252,61270,65588,60004,58881,63091,60106,57835,57835
West Virginia,WV,54,1744237,1949644,1793477,1808344,1852994,37762,37325,39779,38112,40958,39785,39043,38016,41497,41157,43487,44388,47288,41106,43973,45703,43315,44186,40241,38482,38482
Wisconsin,WI,55,4417731,4705767,4891769,5363675,5686986,62159,59137,57299,58982,63844,60991,59665,59438,58603,56398,53278,59723,57609,55394,55645,53795,53918,53850,55258,50395,50395
Wyoming,WY,56,332416,469557,453588,493782,563626,47853,45761,48367,50309,52074,53606,52261,51487,53899,55985,53359,54349,54763,57706,56984,55771,56456,58348,55700,56322,56322
